ip;int;mac;exp;vrf
10.4.90.130;Vlan992;1c:bb:a8:24:8a:6a;198;IP-TV
10.4.90.133;Vlan992;e4:27:71:24:f8:51;130;IP-TV
10.4.90.134;Vlan992;00:1a:79:09:98:83;1;IP-TV
10.4.90.145;Vlan992;e4:27:71:4d:0e:24;0;IP-TV
10.4.90.149;Vlan992;20:e5:64:f0:c9:a1;0;IP-TV
10.4.90.150;Vlan992;00:1a:79:24:1f:51;2;IP-TV
10.4.90.158;Vlan992;e4:27:71:0c:6c:23;185;IP-TV
10.4.90.174;Vlan992;e4:27:71:11:7e:07;214;IP-TV
10.4.90.175;Vlan992;e4:27:71:4d:4f:fb;1;IP-TV
10.4.90.176;Vlan992;e4:27:71:1f:ee:49;202;IP-TV
10.4.90.181;Vlan992;e4:27:71:5c:66:b3;131;IP-TV
10.4.90.184;Vlan992;e4:27:71:1e:e8:7a;106;IP-TV
10.4.90.186;Vlan992;e4:27:71:1f:ec:5f;2;IP-TV
10.4.90.187;Vlan992;da:0d:16:0c:28:47;22;IP-TV
10.4.90.215;Vlan992;ec:4c:4d:66:4d:0b;2;IP-TV
10.4.90.218;Vlan992;e4:27:71:41:de:e0;18;IP-TV
10.4.90.222;Vlan992;da:0d:16:02:ed:36;5;IP-TV
10.4.90.233;Vlan992;ec:4c:4d:6b:2b:ea;2;IP-TV
10.4.90.239;Vlan992;e4:27:71:5d:30:28;116;IP-TV
10.4.90.244;Vlan992;e4:27:71:41:cb:df;158;IP-TV
10.4.90.245;Vlan992;e4:27:71:62:63:d8;147;IP-TV
10.4.90.249;Vlan992;e4:27:71:67:be:8c;2;IP-TV
10.4.91.4;Vlan992;00:1a:79:0f:7f:d2;3;IP-TV
10.4.91.7;Vlan992;20:e5:64:f0:cc:55;0;IP-TV
10.4.91.10;Vlan992;1c:bb:a8:26:ce:c3;0;IP-TV
10.4.91.14;Vlan992;e4:27:71:40:99:f3;140;IP-TV
10.4.91.18;Vlan992;00:1a:79:0c:cd:31;2;IP-TV
10.4.91.20;Vlan992;00:02:9b:93:cb:41;4;IP-TV
10.4.91.21;Vlan992;5c:e3:0e:94:bb:74;9;IP-TV
10.4.91.27;Vlan992;e4:27:71:25:24:7c;54;IP-TV
10.4.91.29;Vlan992;e4:27:71:1f:e5:c3;38;IP-TV
10.4.91.34;Vlan992;00:02:9b:88:75:ad;3;IP-TV
10.4.91.39;Vlan992;e4:27:71:02:88:0c;71;IP-TV
10.4.91.44;Vlan992;e4:27:71:67:be:d9;45;IP-TV
10.4.91.47;Vlan992;ec:4c:4d:f6:ce:05;12;IP-TV
10.4.91.48;Vlan992;5c:e3:0e:94:b9:01;7;IP-TV
10.4.91.55;Vlan992;e4:27:71:29:69:3a;250;IP-TV
10.4.91.56;Vlan992;1c:bb:a8:1b:a4:c6;133;IP-TV
10.4.91.60;Vlan992;e4:27:71:67:c2:9c;35;IP-TV
10.4.91.61;Vlan992;e4:27:71:47:e4:17;2;IP-TV
10.4.91.66;Vlan992;e4:27:71:67:bf:1e;189;IP-TV
10.4.91.68;Vlan992;ec:4c:4d:f2:b7:a3;116;IP-TV
10.4.91.72;Vlan992;20:e5:64:f1:0d:13;0;IP-TV
10.4.91.77;Vlan992;e4:27:71:0c:1d:61;254;IP-TV
10.4.91.79;Vlan992;ec:4c:4d:f2:ab:34;161;IP-TV
10.4.91.80;Vlan992;e4:27:71:47:fa:7a;19;IP-TV
10.4.91.89;Vlan992;e4:27:71:14:43:2a;10;IP-TV
10.4.91.93;Vlan992;ec:4c:4d:66:5d:cc;76;IP-TV
10.4.91.96;Vlan992;e4:27:71:5f:dc:8b;78;IP-TV
10.4.91.107;Vlan992;b0:4e:26:74:0c:12;0;IP-TV
10.4.91.108;Vlan992;00:02:9b:9f:da:0c;0;IP-TV
10.4.91.113;Vlan992;e4:27:71:67:9b:69;70;IP-TV
10.4.91.114;Vlan992;e4:27:71:67:9b:13;9;IP-TV
10.4.91.127;Vlan992;00:1a:79:09:b0:e5;0;IP-TV
10.4.91.129;Vlan992;88:a5:bd:ef:6a:1c;0;IP-TV
10.4.91.131;Vlan992;e4:27:71:62:5c:e8;196;IP-TV
10.4.91.132;Vlan992;00:1a:79:06:9b:8e;0;IP-TV
10.4.91.133;Vlan992;7c:bf:b1:58:c2:d0;0;IP-TV
10.4.91.136;Vlan992;38:6b:bb:d3:e9:7e;0;IP-TV
10.4.91.137;Vlan992;e4:27:71:67:9b:54;75;IP-TV
10.4.91.139;Vlan992;e4:27:71:02:85:16;2;IP-TV
10.4.91.140;Vlan992;e4:27:71:00:2e:fd;3;IP-TV
10.4.91.149;Vlan992;e4:27:71:0a:11:e0;4;IP-TV
10.4.91.154;Vlan992;e4:27:71:41:dd:a4;16;IP-TV
10.4.91.158;Vlan992;e4:27:71:47:f6:18;2;IP-TV
10.4.91.164;Vlan992;e4:27:71:1e:f2:f8;71;IP-TV
10.4.91.182;Vlan992;38:6b:bb:d3:e2:6a;0;IP-TV
10.4.91.183;Vlan992;e4:27:71:20:20:33;60;IP-TV
10.4.91.190;Vlan992;e4:27:71:67:9b:56;62;IP-TV
10.4.91.194;Vlan992;e4:27:71:62:5d:83;229;IP-TV
10.4.91.199;Vlan992;e4:27:71:4e:fd:82;149;IP-TV
10.4.91.208;Vlan992;1c:bb:a8:19:c5:35;0;IP-TV
10.4.91.214;Vlan992;1c:bb:a8:19:bd:b4;176;IP-TV
10.4.91.218;Vlan992;00:02:9b:a0:10:fa;2;IP-TV
10.4.91.235;Vlan992;e4:27:71:47:14:c6;156;IP-TV
10.4.91.250;Vlan992;e4:27:71:06:69:67;2;IP-TV
10.4.91.252;Vlan992;e4:27:71:02:61:f8;1;IP-TV
10.4.91.254;Vlan992;e4:27:71:5c:07:b2;1;IP-TV
10.4.92.3;Vlan992;e4:27:71:10:1a:90;80;IP-TV
10.4.92.5;Vlan992;e4:27:71:1e:7a:bf;91;IP-TV
